season,week,teamOwner,teamName,teamPoints,playerRosterPosition,playerNameAndInfo,playerPoints,playerOpponent,playerGameStatus
2011,1,AJ,Winning,92.28,QB,T. Romo QB - DAL ,20.58,@NYJ,"Loss, 24-27"
2011,1,AJ,Winning,92.28,RB,A. Foster RB - HOU ,0.0,IND,"Win, 34-7"
2011,1,AJ,Winning,92.28,RB,D. Williams RB - CAR ,3.6,@ARI,"Loss, 21-28"
2011,1,AJ,Winning,92.28,WR,J. Jones WR - ATL ,7.1,@CHI,"Loss, 12-30"
2011,1,AJ,Winning,92.28,WR,G. Jennings WR - GB ,14.9,NO,"Win, 42-34"
2011,1,AJ,Winning,92.28,TE,D. Clark TE - IND ,3.9,@HOU,"Loss, 7-34"
2011,1,AJ,Winning,92.28,W/R,J. Addai RB - IND ,6.2,@HOU,"Loss, 7-34"
2011,1,AJ,Winning,92.28,K,D. Akers K - SF ,15.0,SEA,"Win, 33-17"
2011,1,AJ,Winning,92.28,DEF,Giants DEF ,6.0,@WAS,"Loss, 14-28"
2011,1,AJ,Winning,92.28,DP,T. Suggs LB - BAL ,15.0,PIT,"Win, 35-7"
2011,1,AJ,Winning,92.28,BN,J. Knox WR - CHI ,6.0,ATL,"Win, 30-12"
2011,1,AJ,Winning,92.28,BN,S. Bradford QB - STL ,4.02,PHI,"Loss, 13-31"
2011,1,AJ,Winning,92.28,BN,A. Green WR - CIN ,10.1,@CLE,"Win, 27-17"
2011,1,AJ,Winning,92.28,BN,B. Edwards WR - SF ,2.7,SEA,"Win, 33-17"
2011,1,AJ,Winning,92.28,BN,R. Bush RB - MIA ,17.4,NE,"Loss, 24-38"
2011,1,AJ,Winning,92.28,BN,M. Sims-Walker WR - JAC ,0.5,TEN,"Win, 16-14"
2011,1,dan,DR Philthy,133.4,QB,M. Sanchez QB - NYJ ,17.7,DAL,"Win, 27-24"
2011,1,dan,DR Philthy,133.4,RB,M. Forte RB - CHI ,21.8,ATL,"Win, 30-12"
2011,1,dan,DR Philthy,133.4,RB,C. Johnson RB - TEN ,4.9,@JAX,"Loss, 14-16"
2011,1,dan,DR Philthy,133.4,WR,M. Colston WR - NO ,7.1,@GB,"Loss, 34-42"
2011,1,dan,DR Philthy,133.4,WR,W. Welker WR - NE ,28.0,@MIA,"Win, 38-24"
2011,1,dan,DR Philthy,133.4,TE,D. Keller TE - NYJ ,12.1,DAL,"Win, 27-24"
2011,1,dan,DR Philthy,133.4,W/R,C. Benson RB - CIN ,18.3,@CLE,"Win, 27-17"
2011,1,dan,DR Philthy,133.4,K,B. Cundiff K - BAL ,9.0,PIT,"Win, 35-7"
2011,1,dan,DR Philthy,133.4,DEF,Raiders DEF ,12.0,@DEN,"Win, 23-20"
2011,1,dan,DR Philthy,133.4,DP,C. Matthews LB - GB ,2.5,NO,"Win, 42-34"
2011,1,dan,DR Philthy,133.4,BN,S. Rice WR - SEA ,0.0,@SF,"Loss, 17-33"
2011,1,dan,DR Philthy,133.4,BN,P. Manning QB - IND ,0.0,@HOU,"Loss, 7-34"
2011,1,dan,DR Philthy,133.4,BN,D. Garrard QB - JAC ,0.0,TEN,"Win, 16-14"
2011,1,dan,DR Philthy,133.4,BN,M. Barber RB - CHI ,0.0,ATL,"Win, 30-12"
2011,1,dan,DR Philthy,133.4,BN,D. Sproles RB - NO ,25.4,@GB,"Loss, 34-42"
2011,1,dan,DR Philthy,133.4,BN,Falcons DEF ,13.0,@CHI,"Loss, 12-30"
2011,1,Kameron,Drunken Monkeys,132.9,QB,M. Schaub QB - HOU ,8.8,IND,"Win, 34-7"
2011,1,Kameron,Drunken Monkeys,132.9,RB,M. Jones-Drew RB - JAC ,15.7,TEN,"Win, 16-14"
2011,1,Kameron,Drunken Monkeys,132.9,RB,F. Gore RB - SF ,7.8,SEA,"Win, 33-17"
2011,1,Kameron,Drunken Monkeys,132.9,WR,D. Jackson WR - PHI ,16.2,@LA,"Win, 31-13"
2011,1,Kameron,Drunken Monkeys,132.9,WR,K. Britt WR - TEN ,26.6,@JAX,"Loss, 14-16"
2011,1,Kameron,Drunken Monkeys,132.9,TE,J. Finley TE - GB ,5.3,NO,"Win, 42-34"
2011,1,Kameron,Drunken Monkeys,132.9,W/R,D. Amendola WR - STL ,6.5,PHI,"Loss, 13-31"
2011,1,Kameron,Drunken Monkeys,132.9,K,S. Janikowski K - LV ,13.0,@DEN,"Win, 23-20"
2011,1,Kameron,Drunken Monkeys,132.9,DEF,Ravens DEF ,22.0,PIT,"Win, 35-7"
2011,1,Kameron,Drunken Monkeys,132.9,DP,L. Timmons LB - PIT ,11.0,@BAL,"Loss, 7-35"
2011,1,Kameron,Drunken Monkeys,132.9,BN,R. Jennings RB - JAC ,0.0,TEN,"Win, 16-14"
2011,1,Kameron,Drunken Monkeys,132.9,BN,A. Collie WR - IND ,0.0,@HOU,"Loss, 7-34"
2011,1,Kameron,Drunken Monkeys,132.9,BN,A. Hernandez TE - NE ,16.3,@MIA,"Win, 38-24"
2011,1,Kameron,Drunken Monkeys,132.9,BN,D. Driver WR - GB ,4.1,NO,"Win, 42-34"
2011,1,Kameron,Drunken Monkeys,132.9,BN,K. Kolb QB - ARI ,19.26,CAR,"Win, 28-21"
2011,1,Kameron,Drunken Monkeys,132.9,BN,M. Bush RB - LV ,3.0,@DEN,"Win, 23-20"
2011,1,Matthew,Turf Muncher,126.66,QB,J. Freeman QB - TB ,14.56,DET,"Loss, 20-27"
2011,1,Matthew,Turf Muncher,126.66,RB,P. Hillis RB - CLE ,8.7,CIN,"Loss, 17-27"
2011,1,Matthew,Turf Muncher,126.66,RB,L. McCoy RB - PHI ,25.7,@LA,"Win, 31-13"
