season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2011,1,AJ,Winning,92.28,9,0-0-0,Loss,0-1-0,dan,DR Philthy,133.4,1,0-0-0,1-0-0
2011,1,Kameron,Drunken Monkeys,132.9,2,0-0-0,Win,1-0-0,Aaron,I Cursed AJ Crane,112.0,5,0-0-0,0-1-0
2011,1,Matthew,Turf Muncher,126.66,3,0-0-0,Win,1-0-0,Mike,Mr Pig Skinner,90.4,10,0-0-0,0-1-0
2011,1,Mike,CoachSezItNorml2BleedOutYaEars,106.88,8,0-0-0,Loss,0-1-0,Matt,Mongorians,122.16,4,0-0-0,1-0-0
2011,1,Rob,Mansleezy,68.03,12,0-0-0,Loss,0-1-0,Jason,Clickety Clow,107.08,6,0-0-0,1-0-0
2011,1,Colin,Im a scientist,88.0,11,0-0-0,Loss,0-1-0,nathan,ol-erth panda slayers,107.08,7,0-0-0,1-0-0
2011,1,dan,DR Philthy,133.4,1,0-0-0,Win,1-0-0,AJ,Winning,92.28,9,0-0-0,0-1-0
2011,1,Aaron,I Cursed AJ Crane,112.0,5,0-0-0,Loss,0-1-0,Kameron,Drunken Monkeys,132.9,2,0-0-0,1-0-0
2011,1,Mike,Mr Pig Skinner,90.4,10,0-0-0,Loss,0-1-0,Matthew,Turf Muncher,126.66,3,0-0-0,1-0-0
2011,1,Matt,Mongorians,122.16,4,0-0-0,Win,1-0-0,Mike,CoachSezItNorml2BleedOutYaEars,106.88,8,0-0-0,0-1-0
2011,1,Jason,Clickety Clow,107.08,6,0-0-0,Win,1-0-0,Rob,Mansleezy,68.03,12,0-0-0,0-1-0
2011,1,nathan,ol-erth panda slayers,107.08,7,0-0-0,Win,1-0-0,Colin,Im a scientist,88.0,11,0-0-0,0-1-0
2011,2,Kameron,Drunken Monkeys,97.3,9,1-0-0,Win,2-0-0,AJ,Winning,95.7,11,0-1-0,0-2-0
2011,2,dan,DR Philthy,103.65,7,1-0-0,Win,2-0-0,Matthew,Turf Muncher,97.92,8,1-0-0,1-1-0
2011,2,Aaron,I Cursed AJ Crane,111.56,5,0-1-0,Loss,0-2-0,Mike,CoachSezItNorml2BleedOutYaEars,177.62,1,0-1-0,1-1-0
2011,2,Mike,Mr Pig Skinner,96.12,10,0-1-0,Loss,0-2-0,Rob,Mansleezy,121.25,3,0-1-0,1-1-0
2011,2,Matt,Mongorians,138.5,2,1-0-0,Win,2-0-0,Colin,Im a scientist,117.12,4,0-1-0,0-2-0
2011,2,Jason,Clickety Clow,82.88,12,1-0-0,Loss,1-1-0,nathan,ol-erth panda slayers,110.32,6,1-0-0,2-0-0
2011,2,AJ,Winning,95.7,11,0-1-0,Loss,0-2-0,Kameron,Drunken Monkeys,97.3,9,1-0-0,2-0-0
2011,2,Matthew,Turf Muncher,97.92,8,1-0-0,Loss,1-1-0,dan,DR Philthy,103.65,7,1-0-0,2-0-0
2011,2,Mike,CoachSezItNorml2BleedOutYaEars,177.62,1,0-1-0,Win,1-1-0,Aaron,I Cursed AJ Crane,111.56,5,0-1-0,0-2-0
2011,2,Rob,Mansleezy,121.25,3,0-1-0,Win,1-1-0,Mike,Mr Pig Skinner,96.12,10,0-1-0,0-2-0
2011,2,Colin,Im a scientist,117.12,4,0-1-0,Loss,0-2-0,Matt,Mongorians,138.5,2,1-0-0,2-0-0
2011,2,nathan,ol-erth panda slayers,110.32,6,1-0-0,Win,2-0-0,Jason,Clickety Clow,82.88,12,1-0-0,1-1-0
2011,3,AJ,Winning,74.4,10,0-2-0,Loss,0-3-0,Matthew,Turf Muncher,99.1,8,1-1-0,2-1-0
2011,3,Mike,CoachSezItNorml2BleedOutYaEars,112.88,4,1-1-0,Loss,1-2-0,Kameron,Drunken Monkeys,118.29,3,2-0-0,3-0-0
2011,3,Rob,Mansleezy,71.02,11,1-1-0,Loss,1-2-0,dan,DR Philthy,126.26,2,2-0-0,3-0-0
2011,3,Colin,Im a scientist,102.06,7,0-2-0,Loss,0-3-0,Aaron,I Cursed AJ Crane,112.32,5,0-2-0,1-2-0
2011,3,nathan,ol-erth panda slayers,104.38,6,2-0-0,Win,3-0-0,Mike,Mr Pig Skinner,56.24,12,0-2-0,0-3-0
2011,3,Jason,Clickety Clow,94.67,9,1-1-0,Loss,1-2-0,Matt,Mongorians,130.7,1,2-0-0,3-0-0
2011,3,Matthew,Turf Muncher,99.1,8,1-1-0,Win,2-1-0,AJ,Winning,74.4,10,0-2-0,0-3-0
2011,3,Kameron,Drunken Monkeys,118.29,3,2-0-0,Win,3-0-0,Mike,CoachSezItNorml2BleedOutYaEars,112.88,4,1-1-0,1-2-0
2011,3,dan,DR Philthy,126.26,2,2-0-0,Win,3-0-0,Rob,Mansleezy,71.02,11,1-1-0,1-2-0
2011,3,Aaron,I Cursed AJ Crane,112.32,5,0-2-0,Win,1-2-0,Colin,Im a scientist,102.06,7,0-2-0,0-3-0
2011,3,Mike,Mr Pig Skinner,56.24,12,0-2-0,Loss,0-3-0,nathan,ol-erth panda slayers,104.38,6,2-0-0,3-0-0
2011,3,Matt,Mongorians,130.7,1,2-0-0,Win,3-0-0,Jason,Clickety Clow,94.67,9,1-1-0,1-2-0
2011,4,Mike,CoachSezItNorml2BleedOutYaEars,118.04,3,1-2-0,Win,2-2-0,AJ,Winning,101.17,10,0-3-0,0-4-0
2011,4,Matthew,Turf Muncher,104.18,8,2-1-0,Loss,2-2-0,Rob,Mansleezy,112.71,5,1-2-0,2-2-0
2011,4,Kameron,Drunken Monkeys,108.85,6,3-0-0,Win,4-0-0,Colin,Im a scientist,86.96,12,0-3-0,0-4-0
2011,4,dan,DR Philthy,100.53,11,3-0-0,Loss,3-1-0,nathan,ol-erth panda slayers,120.92,2,3-0-0,4-0-0
2011,4,Aaron,I Cursed AJ Crane,115.1,4,1-2-0,Win,2-2-0,Jason,Clickety Clow,102.41,9,1-2-0,1-3-0
2011,4,Mike,Mr Pig Skinner,123.78,1,0-3-0,Win,1-3-0,Matt,Mongorians,106.94,7,3-0-0,3-1-0
2011,4,AJ,Winning,101.17,10,0-3-0,Loss,0-4-0,Mike,CoachSezItNorml2BleedOutYaEars,118.04,3,1-2-0,2-2-0
2011,4,Rob,Mansleezy,112.71,5,1-2-0,Win,2-2-0,Matthew,Turf Muncher,104.18,8,2-1-0,2-2-0
2011,4,Colin,Im a scientist,86.96,12,0-3-0,Loss,0-4-0,Kameron,Drunken Monkeys,108.85,6,3-0-0,4-0-0
2011,4,nathan,ol-erth panda slayers,120.92,2,3-0-0,Win,4-0-0,dan,DR Philthy,100.53,11,3-0-0,3-1-0
2011,4,Jason,Clickety Clow,102.41,9,1-2-0,Loss,1-3-0,Aaron,I Cursed AJ Crane,115.1,4,1-2-0,2-2-0
2011,4,Matt,Mongorians,106.94,7,3-0-0,Loss,3-1-0,Mike,Mr Pig Skinner,123.78,1,0-3-0,1-3-0
2011,5,AJ,Winning,103.61,6,0-4-0,Loss,0-5-0,Rob,Mansleezy,120.43,2,2-2-0,3-2-0
2011,5,Colin,Im a scientist,112.02,3,0-4-0,Win,1-4-0,Mike,CoachSezItNorml2BleedOutYaEars,101.04,7,2-2-0,2-3-0
2011,5,nathan,ol-erth panda slayers,132.84,1,4-0-0,Win,5-0-0,Matthew,Turf Muncher,76.68,12,2-2-0,2-3-0
2011,5,Jason,Clickety Clow,83.4,11,1-3-0,Loss,1-4-0,Kameron,Drunken Monkeys,95.51,8,4-0-0,5-0-0
2011,5,Matt,Mongorians,108.89,4,3-1-0,Win,4-1-0,dan,DR Philthy,94.64,9,3-1-0,3-2-0
2011,5,Mike,Mr Pig Skinner,108.5,5,1-3-0,Win,2-3-0,Aaron,I Cursed AJ Crane,92.76,10,2-2-0,2-3-0
2011,5,Rob,Mansleezy,120.43,2,2-2-0,Win,3-2-0,AJ,Winning,103.61,6,0-4-0,0-5-0
2011,5,Mike,CoachSezItNorml2BleedOutYaEars,101.04,7,2-2-0,Loss,2-3-0,Colin,Im a scientist,112.02,3,0-4-0,1-4-0
2011,5,Matthew,Turf Muncher,76.68,12,2-2-0,Loss,2-3-0,nathan,ol-erth panda slayers,132.84,1,4-0-0,5-0-0
2011,5,Kameron,Drunken Monkeys,95.51,8,4-0-0,Win,5-0-0,Jason,Clickety Clow,83.4,11,1-3-0,1-4-0
2011,5,dan,DR Philthy,94.64,9,3-1-0,Loss,3-2-0,Matt,Mongorians,108.89,4,3-1-0,4-1-0
2011,5,Aaron,I Cursed AJ Crane,92.76,10,2-2-0,Loss,2-3-0,Mike,Mr Pig Skinner,108.5,5,1-3-0,2-3-0
2011,6,Colin,Im a scientist,118.36,1,1-4-0,Win,2-4-0,AJ,Winning,95.28,7,0-5-0,0-6-0
2011,6,Rob,Mansleezy,111.91,2,3-2-0,Win,4-2-0,nathan,ol-erth panda slayers,90.44,9,5-0-0,5-1-0
2011,6,Mike,CoachSezItNorml2BleedOutYaEars,91.96,8,2-3-0,Win,3-3-0,Jason,Clickety Clow,87.28,10,1-4-0,1-5-0
2011,6,Matthew,Turf Muncher,78.35,12,2-3-0,Loss,2-4-0,Matt,Mongorians,111.79,3,4-1-0,5-1-0
